576. телескоп (a telescope)
577. телефон (a phone)
578. тельняшка (a striped vest)
579. терка (a grater)
580. термос (a thermos)
581. тигр (a tiger)
582. топор (an ax)
583. торт (a cake)
584. торшер (a floor lamp)
585. тостер (a toaster)
586. точилка (a pencil sharpener)
587. точка (a dot)
588. трамвай (a tram)
589. треугольник (a triangle)
590. троллейбус (a trolley bus)
591. трон (a throne)
592. трость (a walking-stick)
593. труба (a horn)
594. трубка (a pipe)
595. трубопровод (a tube)
596. труп (a corpse)
597. трусы (pants)
598. туфли (shoes)
599. тыква (a pumpkin)
600. тюлень (a seal)
601. тюрьма (a prison)
602. тяпка (a hoe)
603. уборщик (a male janitor)
604. уборщица (a female janitor)
605. удочка (a fishing rod)
606. узбек (an Uzbek)
607. украшения (jewellery)
608. улитка (a snail)
609. улица (a street)
610. унитаз (a toilet bowl)
611. усы (a moustache)
612. утка (a duck)
613. утюг (an iron)
614. ухо (an ear)
615. учитель (1) (a teacher)
616. учитель (2) (a teacher)
617. фартук (an apron)
618. фен (a hairdryer)
619. фея (1) (a fairy)
620. фея (2) (an elf)
621. фига (a fico)
622. флаг (a flag)
623. флешка (a flash drive)
624. фляга (a flask)
625. фонарик (a flashlight)
626. фонарь (a lantern)
627. фонтан (a fountain)
628. форточка (a vent pane)
629. фотоаппарат (1) (a camera)
630. фотоаппарат (2) (a camera)
631. фотография (a photograph)
632. футболка (a blouse)
633. халат (a bathrobe)
634. хвост (a tail)
635. хлеб (1) (bread)
636. хлеб (2) (bread)
637. хобот (a trunk)
638. холодильник (a refrigerator)
639. хомяк (a hamster)
640. цапля (a heron)
641. цветок (1) (a flower)
642. цветок (2) (a flower)
643. цепь (a chain)
644. церковь (a church)
645. цилиндр (a cylinder)
646. цыпленок (a chick)
647. чай (tea)
648. чайник (a tea-kettle)
649. часы (1) (a watch)
650. часы (2) (a clock)
651. чашка (a cup)
652. чемодан (a suitcase)
653. червь (a worm)
654. череп (a skull)
655. черепаха (a tortoise)
656. чертеж (a sketch)
657. чеснок (a garlic)
658. шампанское (champagne)
659. шапка (a ear-flapped hat)
660. шар (a sphere)
661. шарф (a scarf)
662. шахматы (chess)
663. шашки (draughts)
664. шашлык (a shashlik)
665. швабра (a mop)
666. шея (a neck)
667. шип (a thorn)
668. шишка (a strobile)
669. шкатулка (a casket)
670. шкаф (a cupboard)
671. шлагбаум (a lifting gate)
672. шланг (a hose)
