барабанить (drum) 1.jpg
распускать (unknit) 283.jpg
растягивать (stretch out) 284.jpg
расчёсывать (brush (one's hair)) 285.jpg
рвать (tear) 286.jpg
регулировать (control) 287.jpg
резать (cut) 288.jpg
ржать (neigh) 289.jpg
рисовать (draw) 290.jpg
ронять (drop) 291.jpg
ругать (scold) 292.jpg
рыть (shovel) 293.jpg
рыхлить (prong) 294.jpg
садиться (sit down) 295.jpg
сажать (plant) 296.jpg
сбрасывать (drop) 297.jpg
сверлить (drill) 298.jpg
светить (shine) 299.jpg
свистеть (blow the whistle) 300.jpg
свистеть (whistle) 301.jpg
сеять (sow) 302.jpg
сидеть (sit) 303.jpg
скакать (trottle) 304.jpg
складывать (stack) 305.jpg
слезать (come down) 306.jpg
слушать (listen) 307.jpg
смеяться (laugh) 308.jpg
смотреть (watch) 309.jpg
смотреть (watch) 310.jpg
собирать (gather) 311.jpg
солить (salt) 312.jpg
сосать (suck) 313.jpg
сохнуть (dry intr) 314.jpg
сочинять (compose) 315.jpg
спасать (save) 316.jpg
спать (sleep) 317.jpg
списывать (copy) 318.jpg
спускаться (go down) 319.jpg
ставить (put) 320.jpg
стирать (wash) 321.jpg
стирать (wash) 322.jpg
сторожить (guard) 323.jpg
стоять (stand) 324.jpg
стрелять (shoot) 325.jpg
стричь (cut (one's hair)) 326.jpg
строгать (plane) 327.jpg
строить (build) 328.jpg
стучать (knock) 329.jpg
стучать (hit) 330.jpg
сушить (dry) 331.jpg
считать (count) 332.jpg
считать (count) 333.jpg
танцевать (dance) 334.jpg
таять (melt intr) 335.jpg
тереть (rub) 336.jpg
течь (flow) 337.jpg
ткать (weave) 338.jpg
толкать (push) 339.jpg
тонуть (drown) 340.jpg
топить (stoke) 341.jpg
точить (grind) 342.jpg
трясти (shake) 343.jpg
тушить (put out) 344.jpg
убегать (run away) 345.jpg
уезжать (drive away) 346.jpg
укачивать (rock to sleep) 347.jpg
улыбаться (smile) 348.jpg
умирать (die) 349.jpg
умывать (wash one's face) 350.jpg
умываться (wash one's own face) 351.jpg
уползать (crawl away) 352.jpg
уступать (let sit) 353.jpg
уходить (go away) 354.jpg
учить (teach) 355.jpg
фехтовать (fence) 356.jpg
фотографировать (take photos) 357.jpg
хлопать (clap) 358.jpg
хмуриться (frown) 359.jpg
хрюкать (grunt) 360.jpg
царапать (scratch) 361.jpg
царапать (scratch) 362.jpg
цвести (blossom) 363.jpg
целиться (aim) 364.jpg
целовать (kiss tr) 365.jpg
целоваться (kiss one another) 366.jpg
чертить (chart) 367.jpg
чесаться (scratch oneself) 368.jpg
чинить (repair) 369.jpg
чистить (brush) 370.jpg
читать (read) 371.jpg
чихать (sneeze) 372.jpg
чокаться (clinck glasses) 373.jpg
шептать (whisper) 374.jpg
шипеть (hiss) 375.jpg
шить (sew) 376.jpg
щекотать (tickle) 377.jpg
щипать (pinck) 378.jpg
щуриться (squint) 379.jpg
